"cell","width","arm","bit","hwh","ref","ref_status"
"gt_mod","12","default","gru_L20_gt_mod_w12.bit","gru_L20_gt_mod_w12.hwh","","NONE"
"gt_mod","13","default","gru_L20_gt_mod_w13.bit","gru_L20_gt_mod_w13.hwh","","NONE"
"gt_mod","14","default","gru_L20_gt_mod_w14.bit","gru_L20_gt_mod_w14.hwh","","NONE"
"gt_mod","15","default","gru_L20_gt_mod_w15.bit","gru_L20_gt_mod_w15.hwh","","NONE"
"gt_mod","16","default","gru_L20_gt_mod_w16.bit","gru_L20_gt_mod_w16.hwh","","NONE"
"gt_mod","17","default","gru_L20_gt_mod_w17.bit","gru_L20_gt_mod_w17.hwh","","NONE"
"gt_mod","18","default","gru_L20_gt_mod_w18.bit","gru_L20_gt_mod_w18.hwh","","NONE"
"gt_mod","19","default","gru_L20_gt_mod_w19.bit","gru_L20_gt_mod_w19.hwh","","NONE"
"gt_mod","20","default","gru_L20_gt_mod_w20.bit","gru_L20_gt_mod_w20.hwh","","NONE"
"gt_mod","21","default","gru_L20_gt_mod_w21.bit","gru_L20_gt_mod_w21.hwh","","NONE"
"gt_mod","22","default","gru_L20_gt_mod_w22.bit","gru_L20_gt_mod_w22.hwh","","NONE"
"gt_mod","23","default","gru_L20_gt_mod_w23.bit","gru_L20_gt_mod_w23.hwh","","NONE"
"gt_mod","24","default","gru_L20_gt_mod_w24.bit","gru_L20_gt_mod_w24.hwh","","NONE"
"fl_max","8","default","gru_L20_fl_max_w8.bit","gru_L20_fl_max_w8.hwh","","NONE"
"fl_max","9","default","gru_L20_fl_max_w9.bit","gru_L20_fl_max_w9.hwh","","NONE"
"fl_max","10","default","gru_L20_fl_max_w10.bit","gru_L20_fl_max_w10.hwh","","NONE"
"fl_max","11","default","gru_L20_fl_max_w11.bit","gru_L20_fl_max_w11.hwh","","NONE"
"fl_max","12","default","gru_L20_fl_max_w12.bit","gru_L20_fl_max_w12.hwh","","NONE"
"fl_max","13","default","gru_L20_fl_max_w13.bit","gru_L20_fl_max_w13.hwh","","NONE"
"fl_max","14","default","gru_L20_fl_max_w14.bit","gru_L20_fl_max_w14.hwh","","NONE"
"fl_max","15","default","gru_L20_fl_max_w15.bit","gru_L20_fl_max_w15.hwh","","NONE"
"fl_max","16","default","gru_L20_fl_max_w16.bit","gru_L20_fl_max_w16.hwh","","NONE"
"fl_max","17","default","gru_L20_fl_max_w17.bit","gru_L20_fl_max_w17.hwh","","NONE"
"fl_max","18","default","gru_L20_fl_max_w18.bit","gru_L20_fl_max_w18.hwh","","NONE"
"fl_max","19","default","gru_L20_fl_max_w19.bit","gru_L20_fl_max_w19.hwh","","NONE"
"fl_max","20","default","gru_L20_fl_max_w20.bit","gru_L20_fl_max_w20.hwh","","NONE"
"fl_max","21","default","gru_L20_fl_max_w21.bit","gru_L20_fl_max_w21.hwh","","NONE"
"fl_max","22","default","gru_L20_fl_max_w22.bit","gru_L20_fl_max_w22.hwh","","NONE"
"fl_max","23","default","gru_L20_fl_max_w23.bit","gru_L20_fl_max_w23.hwh","","NONE"
"fl_max","24","default","gru_L20_fl_max_w24.bit","gru_L20_fl_max_w24.hwh","","NONE"
"fl_mod","8","default","gru_L20_fl_mod_w8.bit","gru_L20_fl_mod_w8.hwh","","NONE"
"fl_mod","9","default","gru_L20_fl_mod_w9.bit","gru_L20_fl_mod_w9.hwh","","NONE"
"fl_mod","10","default","gru_L20_fl_mod_w10.bit","gru_L20_fl_mod_w10.hwh","","NONE"
"fl_mod","11","default","gru_L20_fl_mod_w11.bit","gru_L20_fl_mod_w11.hwh","","NONE"
"fl_mod","12","default","gru_L20_fl_mod_w12.bit","gru_L20_fl_mod_w12.hwh","","NONE"
"fl_mod","13","default","gru_L20_fl_mod_w13.bit","gru_L20_fl_mod_w13.hwh","","NONE"
"fl_mod","14","default","gru_L20_fl_mod_w14.bit","gru_L20_fl_mod_w14.hwh","","NONE"
"fl_mod","15","default","gru_L20_fl_mod_w15.bit","gru_L20_fl_mod_w15.hwh","","NONE"
"fl_mod","16","default","gru_L20_fl_mod_w16.bit","gru_L20_fl_mod_w16.hwh","","NONE"
"fl_mod","17","default","gru_L20_fl_mod_w17.bit","gru_L20_fl_mod_w17.hwh","","NONE"
"fl_mod","18","default","gru_L20_fl_mod_w18.bit","gru_L20_fl_mod_w18.hwh","","NONE"
"fl_mod","19","default","gru_L20_fl_mod_w19.bit","gru_L20_fl_mod_w19.hwh","","NONE"
"fl_mod","20","default","gru_L20_fl_mod_w20.bit","gru_L20_fl_mod_w20.hwh","","NONE"
"fl_mod","21","default","gru_L20_fl_mod_w21.bit","gru_L20_fl_mod_w21.hwh","","NONE"
"fl_mod","22","default","gru_L20_fl_mod_w22.bit","gru_L20_fl_mod_w22.hwh","","NONE"
"fl_mod","23","default","gru_L20_fl_mod_w23.bit","gru_L20_fl_mod_w23.hwh","","NONE"
"fl_mod","24","default","gru_L20_fl_mod_w24.bit","gru_L20_fl_mod_w24.hwh","","NONE"
"rodent_max","8","default","gru_L20_rodent_max_w8.bit","gru_L20_rodent_max_w8.hwh","","NONE"
"rodent_max","9","default","gru_L20_rodent_max_w9.bit","gru_L20_rodent_max_w9.hwh","","NONE"
"rodent_max","10","default","gru_L20_rodent_max_w10.bit","gru_L20_rodent_max_w10.hwh","","NONE"
"rodent_max","11","default","gru_L20_rodent_max_w11.bit","gru_L20_rodent_max_w11.hwh","","NONE"
"rodent_max","12","default","gru_L20_rodent_max_w12.bit","gru_L20_rodent_max_w12.hwh","","NONE"
"rodent_max","13","default","gru_L20_rodent_max_w13.bit","gru_L20_rodent_max_w13.hwh","","NONE"
"rodent_max","14","default","gru_L20_rodent_max_w14.bit","gru_L20_rodent_max_w14.hwh","","NONE"
"rodent_max","15","default","gru_L20_rodent_max_w15.bit","gru_L20_rodent_max_w15.hwh","","NONE"
"rodent_max","16","default","gru_L20_rodent_max_w16.bit","gru_L20_rodent_max_w16.hwh","","NONE"
"rodent_max","17","default","gru_L20_rodent_max_w17.bit","gru_L20_rodent_max_w17.hwh","","NONE"
"rodent_max","18","default","gru_L20_rodent_max_w18.bit","gru_L20_rodent_max_w18.hwh","","NONE"
"rodent_max","19","default","gru_L20_rodent_max_w19.bit","gru_L20_rodent_max_w19.hwh","","NONE"
"rodent_max","20","default","gru_L20_rodent_max_w20.bit","gru_L20_rodent_max_w20.hwh","","NONE"
"rodent_max","21","default","gru_L20_rodent_max_w21.bit","gru_L20_rodent_max_w21.hwh","","NONE"
"rodent_max","22","default","gru_L20_rodent_max_w22.bit","gru_L20_rodent_max_w22.hwh","","NONE"
"rodent_max","23","default","gru_L20_rodent_max_w23.bit","gru_L20_rodent_max_w23.hwh","","NONE"
"rodent_max","24","default","gru_L20_rodent_max_w24.bit","gru_L20_rodent_max_w24.hwh","","NONE"
